objectId,rightAscension,declination,magnitudeU,magnitudeG,magnitudeR,magnitudeI,magnitudeZ,runId,rerunId,camCol,fieldId,specObjId,objectClass,redshift,plate,mjd,fiberId
1237673706652500224,116.556164352868,42.3547529897305,20.98003,19.58788,19.04518,18.84573,18.76641,6573,301,6,221,3631027830743212032,STAR,5.768366E-06,3225,54853,2
1237673706652828160,117.577721310207,42.7206549742201,21.03203,20.35103,20.01793,19.8935,19.67065,6573,301,6,226,9317992827572213760,QSO,2.310728,8276,57067,164
1237673706654859520,123.755881390279,43.3815376157854,20.16133,18.91741,18.50099,18.31675,18.24044,6573,301,6,257,614885422153099264,STAR,-0.0001686188,546,52205,524
1237678600221885184,337.275700508645,14.6457655057589,23.97611,21.87576,21.66994,21.13395,20.8694,7713,301,1,84,5671171122600892416,STAR,-0.0006248325,5037,55823,48
1237678600227455232,350.479108100742,15.9761778861372,19.4093,18.31291,18.02977,17.92257,17.91449,7713,301,1,169,6908636281716365312,QSO,3.199405,6136,56206,416
1237680297271952384,337.716872626636,19.5438519713235,23.31207,22.70978,21.12278,20.134,19.60634,8108,301,2,101,5657798587524077568,GALAXY,0.669324,5025,55836,551
1237680297270706944,334.676710278628,18.9626366729705,22.65606,21.22972,21.11002,20.89408,20.39689,8108,301,2,82,8532140529257043968,QSO,2.700078,7578,56956,258
1237661816028988160,205.571334734338,11.0241343508664,23.57686,21.44107,20.48713,20.1528,19.87758,3805,301,2,121,1915233859578914816,STAR,-0.0001942755,1701,53142,284
1237661816029708544,207.118691429057,10.893020708458,22.97986,21.20755,21.08671,21.21062,21.09727,3805,301,2,132,6125151230056749056,STAR,-0.0002819918,5440,55983,930
1237669761188430336,340.270216279202,5.63692526381571,22.1834,20.16154,18.97228,18.49748,18.16389,5655,301,1,225,12727201825742411776,GALAXY,0.1493437,11304,58448,106
1237654954813358336,248.846761597724,48.3490391371456,22.07565,20.36874,19.80856,19.57629,19.16265,2207,301,6,39,9070319314197043200,QSO,2.558439,8056,57186,253
1237654954812441344,247.180513109512,50.0513431984213,25.40871,22.16806,21.80354,22.18447,22.15488,2207,301,6,25,9072601075870357504,QSO,3.071927,8058,57196,362
1237667536928243968,137.789425448087,16.8959503511962,17.71542,17.80173,18.22108,18.54942,18.84055,5137,301,2,164,5968485391694845952,STAR,-0.0001371161,5301,55987,327
1237659326028711424,245.873164151213,40.5716191254082,25.82632,24.79691,22.42157,20.7077,19.82393,3225,301,4,228,1.2081154353484E+19,GALAXY,0.8022876,10730,58244,903
1237680262926500608,359.918762693262,-7.89849859514869,22.90911,22.40867,20.63089,19.42416,19.2847,8100,301,2,319,8046858696423397376,GALAXY,0.659128,7147,56574,189
1237680262929056000,5.73005629287884,-8.10273287975077,26.89474,20.30296,18.71546,18.1021,17.73589,8100,301,2,358,8051423044470855680,GALAXY,0.2996151,7151,56598,410
1237666338651504640,15.1843809471804,-0.513755757193275,20.07163,19.01968,18.57434,18.29295,18.11147,4858,301,2,456,1685502720410150912,GALAXY,0.1094167,1497,52886,111
1237666338653274368,19.3438235315227,-0.467476385801518,19.76443,17.90672,16.88935,16.43659,16.06933,4858,301,2,483,448161519251777536,GALAXY,0.09161794,398,51789,194
1237666338650784256,13.5607812027164,-0.434631065756907,22.88182,22.57608,22.00711,21.49015,21.06989,4858,301,2,445,10571181838453463040,GALAXY,0.9576315,9389,58097,391
1237653665261879552,156.907940220865,2.6218446479403,18.93194,17.664,17.05555,16.62369,16.45145,1907,301,4,229,567584983544260608,GALAXY,0.09876425,504,52316,478
1237653665251329024,132.827898369143,1.7579416764931,22.34099,22.2376,20.85131,19.85896,19.15798,1907,301,4,68,4293131479272413184,GALAXY,0.6401532,3813,55532,273
1237658206119330304,174.761639361852,50.7776583991431,22.27151,22.214,20.11529,18.95301,18.42152,2964,301,6,279,7525689632383850496,GALAXY,0.6187848,6684,56412,635
1237663458852078336,321.522214487979,0.948010537100419,20.02116,18.07859,16.96885,16.5,16.11823,4187,301,6,92,1111438897365149696,GALAXY,0.1358381,987,52523,639
1237663458851620352,320.444978475781,0.907691374845382,22.87543,22.26201,21.81657,21.15063,20.41379,4187,301,6,85,1.0386569711572E+19,GALAXY,0.876763,9225,58013,520
1237663458852799488,323.131375510729,0.934906246772479,23.01087,22.75486,22.30851,21.37292,20.50558,4187,301,6,103,10388787425166252032,GALAXY,0.7752829,9227,57932,396
1237665442061746432,218.071998576441,26.0346133123723,20.33797,18.33292,17.37518,16.94884,16.64109,4649,301,4,222,2403942875239835648,GALAXY,0.09438366,2135,53827,533
1237666300018360832,49.4219510028435,-0.517436851868372,21.86704,20.79313,19.84164,19.30266,18.92109,4849,301,2,785,800555002882975744,GALAXY,0.116642,711,52202,146
1237663788487409920,111.42280273332,42.5354400314703,20.5957,19.26912,18.94689,18.84413,18.72136,4264,301,4,40,4116499054556633088,STAR,-2.422935E-05,3656,55241,760
1237663788490883328,116.430247226816,49.767556525952,21.30576,21.05966,20.781,20.937,20.74332,4264,301,4,93,9354095022864357376,QSO,1.237359,8308,57417,431
1237651737374425344,195.711937622846,3.27110540659197,20.34295,18.33936,17.49682,17.11303,16.8258,1458,301,5,473,590074664408082432,GALAXY,0.06944381,524,52027,375
1237678595946250496,7.38793098478374,1.47295776631036,22.23513,22.10592,21.8944,21.65111,21.69121,7712,301,1,379,8856566828966893568,QSO,1.249515,7866,57002,866
1237656906890346496,356.288143629905,-0.620881213582871,19.09501,17.53856,16.80602,16.41977,16.2337,2662,301,2,258,433473693071468544,GALAXY,0.08048058,385,51783,8
1237667536937485312,159.490413067002,22.1237281645758,25.95096,24.86428,22.51503,20.39753,18.92562,5137,301,2,305,2665015862867552256,STAR,-0.0001536662,2367,53763,39
1237663788494487808,123.172311756378,56.9003597897634,21.82299,21.49464,21.13083,20.89578,21.23725,4264,301,4,148,8196764189873952768,STAR,0.001514711,7280,56709,774
1237652944787276032,3.14328165880761,16.0995130404268,25.78775,21.83492,20.26247,19.37429,18.91644,1739,301,6,323,6956033204450252800,GALAXY,0.4859595,6178,56213,813
1237655691937185792,215.137406909635,-2.53987420107957,19.12029,18.20783,17.91957,17.80769,17.77281,2379,301,3,40,1032489287502817280,STAR,-0.0003519164,917,52400,142
1237673701281890816,41.800455085539,-3.66468368597605,23.94995,23.30348,23.87647,23.80095,22.4747,6572,301,4,192,10487946602765113344,QSO,2.077692,9315,57713,687
1237663784213021696,35.7443230743267,0.0410871528769627,24.1225,23.38626,21.56043,20.51824,19.58221,4263,301,4,354,8817177649770420224,GALAXY,0.794353,7831,57016,929
1237661971718144000,175.198285256595,7.51619464323388,17.4498,17.16278,16.90354,16.51114,16.47928,3841,301,4,69,1824065653854726144,QSO,0.1299742,1620,53137,392
1237661971719193088,177.487229507012,7.58379733071334,24.27464,21.52404,19.95636,19.0646,18.67931,3841,301,4,85,6059696478204745728,GALAXY,0.5010666,5382,55982,375
1237664817675895296,180.318427742287,36.5090524145208,24.68307,21.23573,19.50924,18.79742,18.31758,4504,301,1,146,5235708439972567040,GALAXY,0.3960324,4650,55648,996
1237661361833967872,199.436079286207,46.7583579725453,20.65805,20.57006,20.37789,20.26731,20.60852,3699,301,4,87,8340857388908435456,QSO,1.075604,7408,56780,694
1237661361834557696,201.274477331569,46.398989146651,21.2559,21.11771,20.91323,20.61969,20.4383,3699,301,4,96,8340919786193311744,QSO,1.735504,7408,56780,921
1237661361834885120,202.410284873968,46.3141193048174,18.24095,17.07801,16.64122,16.48353,16.44305,3699,301,4,101,1647324106250545152,STAR,-0.0002442581,1463,53063,482
1237661361835933952,205.779546380098,45.7162786500219,21.38589,21.02977,20.8361,20.78147,20.76348,3699,301,4,117,7462661501939374080,QSO,0.8605665,6628,56366,716
1237664854178791936,209.707086742676,35.6308817161548,24.62175,22.1401,20.65121,19.73492,19.26712,4512,301,5,80,4342788718555584512,GALAXY,0.5671099,3857,55272,701
1237664854182855168,220.371449030027,32.8125218237718,22.63742,21.59418,20.27161,19.48557,19.25477,4512,301,5,142,4355243437995612160,GALAXY,0.4439639,3868,55360,955
1237680275256574208,351.69894521765,25.7553968809705,22.0744,19.00211,17.55879,17.0195,16.56137,8103,301,1,45,7097862238963521536,GALAXY,0.2131527,6304,56570,688
1237678595943825664,1.90019136365339,1.45571662714824,21.89389,22.0648,22.02324,21.48672,22.16522,7712,301,1,342,8841825676338419712,QSO,1.845067,7853,56988,486
1237678595943956736,2.16710378286928,1.58314107353236,21.18571,20.88366,20.833,20.52462,20.33967,7712,301,1,344,8841819629024466944,QSO,1.906888,7853,56988,464
1237678595944087808,2.53537261107135,1.64044611772324,19.79256,19.56019,19.28005,19.24887,19.10384,7712,301,1,346,8841798188547725312,QSO,1.056582,7853,56988,386
1237661951346541056,227.429567123303,10.3622557320539,21.61137,20.85641,20.759,20.67023,20.35348,3836,301,6,519,6175624312671983616,QSO,2.342144,5485,56063,230
1237651539787645184,194.994640638896,68.004864213196,22.89404,21.63278,20.48769,19.70376,19.11386,1412,301,5,194,7840986142157854720,GALAXY,0.5475634,6964,56748,797
1237673706118775040,126.289833203824,43.2166913369297,19.25958,18.25898,17.78684,17.38661,17.24149,6573,301,5,269,7183278345664354304,GALAXY,0.1048141,6380,56340,134
1237678858472849920,2.88055408830354,12.0338650844048,26.0083,22.46615,20.60265,19.71982,18.98287,7773,301,2,329,6953558204631767040,GALAXY,0.4412569,6176,56264,1
1237654948373201664,228.117414255927,59.5472457188452,22.77354,21.43253,19.97015,19.17812,18.65676,2206,301,2,74,7859977451631564800,GALAXY,0.5190274,6981,56443,255
1237680333790184192,6.76563670134919,30.9557368384142,23.7512,21.54264,20.60877,19.61886,19.3655,8116,301,6,269,8025669457971271680,GALAXY,0.5617754,7128,56567,927
1237659326020190464,224.415415749132,53.6234749698357,20.4259,18.52957,17.60928,17.12679,16.75837,3225,301,4,98,1310665459049195520,GALAXY,0.1120229,1164,52674,429
1237659326015471872,207.023529165673,58.5305067124546,19.70872,18.41024,17.67579,17.27844,17.05127,3225,301,4,26,1303897415123757056,GALAXY,0.1574757,1158,52668,383
1237659326019666432,222.607959499447,54.3077125513008,22.66363,22.24069,20.35468,19.36845,18.78404,3225,301,4,90,7555933348570617856,GALAXY,0.4956945,6711,56388,69
1237678598077022720,329.262769727761,2.71064319514757,22.21618,21.97923,21.64686,21.55858,21.88026,7712,301,5,124,12755369114253678592,QSO,1.103039,11329,58426,178
1237673706654597632,122.946055627537,43.2928970927502,21.56215,21.43843,21.29997,21.08468,20.88148,6573,301,6,253,9320293279483582464,QSO,2.064379,8278,56990,341
1237673706654663168,123.143955035754,43.3976762394403,21.29896,20.90599,20.5189,20.63017,20.33101,6573,301,6,254,614856285094963200,QSO,1.051378,546,52205,418
1237678600223654912,341.48309111195,15.2011556447474,25.83954,21.0472,20.35391,20.13221,19.91085,7713,301,1,111,5673451516377454592,STAR,-0.001049749,5039,56220,152
1237680275258147072,355.605735440072,26.1014781655288,20.7642,20.59597,20.30438,20.30335,20.27927,8103,301,1,69,8668320552283559936,QSO,1.04504,7699,57574,62
1237678860079202560,352.911760068904,12.9527649576668,21.51336,19.85954,19.47802,19.42576,19.25922,7773,301,5,264,6923324107594684416,QSO,3.329563,6149,56194,602
1237667210521215744,163.794817425338,27.6154272795141,22.59793,20.8447,20.62366,20.52943,20.41291,5061,301,2,324,7257655359866951680,QSO,2.95945,6446,56363,380
1.237662500002E+18,229.901854858445,42.9359449910875,18.96402,17.97677,17.61588,17.46988,17.4266,3964,301,4,113,1889387094871140352,STAR,-3.061799E-05,1678,53433,462
1237666338652946432,18.4980995486234,-0.546844000998116,18.71183,18.4937,17.83704,17.34769,17.21318,4858,301,2,478,448191480943634432,QSO,0.1806196,398,51789,303
1237666338653011968,18.681149240589,-0.548685710771991,18.96193,17.77337,17.37391,17.13887,16.94978,4858,301,2,479,448194504600610816,GALAXY,0.03449688,398,51789,314
1237666338651243520,14.6486313386466,-0.453786678339136,23.92095,24.07223,20.81446,19.41048,18.90541,4858,301,2,452,4757032751047399424,GALAXY,0.6467484,4225,55455,384
1237666338651177216,14.5424482887691,-0.62608055328064,19.23831,17.3207,16.47337,16.07138,15.73714,4858,301,2,451,444779146506168320,GALAXY,0.04452216,395,51783,177
1237672794496107008,0.479098700721693,-4.61532725725656,23.25093,21.8667,21.11486,20.4624,20.16204,6361,301,3,27,8888993911793801216,QSO,1.376202,7895,57659,51
1237672794496106752,0.49411465813057,-4.60352100543891,22.01427,20.68861,20.10766,19.88139,19.79077,6361,301,3,27,2961226228998105088,STAR,-0.0001825589,2630,54327,398
1237678597538448896,325.323054450679,2.3365724778384,26.62829,23.79118,22.51077,21.2401,19.97439,7712,301,4,98,10317900538029824000,GALAXY,0.5328962,9164,58045,559
1237663789034111232,129.962912258625,62.1966262068384,20.25435,18.79022,18.19577,17.83362,17.60459,4264,301,5,190,2111170152178411520,GALAXY,0.0969869,1875,54453,392
1237663789035225344,133.695224170482,64.1863146847147,19.79069,17.69414,16.64129,16.10356,15.72875,4264,301,5,207,2112308421775616000,GALAXY,0.07020438,1876,54464,437
1237663458852209408,321.737113816252,0.886119915380343,21.9834,21.71954,21.2667,21.57893,20.8588,4187,301,6,94,10315586890603190272,GALAXY,0.3386294,9162,58040,334
1237663458853257984,324.103348775346,0.924175472835299,23.44209,22.69851,22.15958,21.45242,20.84971,4187,301,6,110,5791681995152316416,GALAXY,0.9479512,5144,55829,192
1237660961324401152,128.289154646734,28.2332170134286,23.92097,22.34403,21.93937,21.18496,21.42531,3606,301,2,28,10822412818730735616,GALAXY,0.6910093,9612,57801,956
1237667431716291072,169.381678307061,27.7712710278585,25.02456,22.31665,21.00432,20.32547,19.85383,5112,301,6,389,12786873972290770944,STAR,1.554073E-05,11357,58522,104
1237667431716814848,170.770043944356,27.8447161017998,20.0812,20.09304,19.72549,19.77476,19.79101,5112,301,6,397,7215027843243464704,QSO,1.34368,6408,56329,950
1237663478725412096,341.375836132051,-0.229113619503306,22.60289,23.18263,22.95096,21.85841,21.22903,4192,301,3,231,10366219944560187392,GALAXY,0.956165,9207,57667,216
1237678858480321024,20.3920150684817,11.5837263409063,23.80304,22.41422,20.71024,19.87828,19.36415,7773,301,2,443,5256913624296085504,GALAXY,0.4533366,4669,55831,316
1237670961090461952,42.0862466326277,32.7006576712167,21.62099,18.59886,17.2791,16.7378,16.42889,5934,301,4,157,3614267975386898432,STAR,-3.673743E-05,3210,54876,470
1237680272036594688,333.851425970025,19.4184390864792,22.67107,20.92133,19.47741,18.94877,18.79562,8102,301,3,64,8527838140073007104,GALAXY,0.2454504,7574,56945,990
1237662341086445568,240.468620631487,27.9478006235049,19.5887,17.52979,16.54249,16.08234,15.73992,3927,301,4,86,1566298616371374080,GALAXY,0.09202121,1391,52817,625
1237678858471800832,0.46214510680818,12.0222144505991,20.25345,18.5708,17.22437,16.72503,16.34081,7773,301,2,313,6360336216291039232,GALAXY,0.193187,5649,55912,464
1237678858477175040,12.9425166752116,11.8945243206373,22.90961,20.84515,19.03881,18.29644,17.83333,7773,301,2,395,6987424536838035456,GALAXY,0.3718847,6206,56245,326
1237666301631463424,55.1715181856991,0.746925540207605,22.4374,22.53924,21.97041,22.37409,22.70325,4849,301,5,823,2971363172910393344,GALAXY,0.2289897,2639,54116,412
1237678858462036480,337.74418052496,10.5875230752492,21.9324,21.19945,20.94044,21.01354,20.54103,7773,301,2,164,5689391136327882752,QSO,2.693107,5053,56213,796
1237657589775204608,145.291546841996,46.9890472134925,24.0215,20.4234,19.10976,18.51229,18.19838,2821,301,2,30,939029973098850304,STAR,-8.748504E-05,834,52316,107
1237680272036791296,334.284726428134,19.4479080184195,21.99761,21.6276,20.51457,19.47093,18.82644,8102,301,3,67,5655459926660896768,GALAXY,0.6403798,5023,55858,235
1237680272037249280,335.429293170028,19.7587513848652,26.66579,20.09511,18.25286,17.53429,17.24176,8102,301,3,74,5655663611189942272,GALAXY,0.365019,5023,55858,976
1237663478721872128,333.297861480074,-0.313756008721144,20.53956,18.70271,17.80758,17.34547,16.94466,4192,301,3,177,421147892980410368,GALAXY,0.08966075,374,51791,223
1237657401336267264,118.937420497401,30.0301207989717,25.97065,20.90676,19.529,18.78115,18.36568,2777,301,3,72,4224430139512215552,GALAXY,0.351599,3752,55236,195
1237657401337381632,120.895829923522,31.9068802381324,26.35642,22.18302,20.66992,19.85036,19.09518,2777,301,3,89,4228962330954979328,STAR,-0.0001131975,3756,55505,299
1237657401343541504,133.581239906633,41.6762543024016,18.24071,16.93218,16.17297,15.75126,15.47496,2777,301,3,183,934545614539089920,GALAXY,0.1392427,830,52293,177
1237657401336463616,119.33991102377,30.273676178091,20.25601,18.39483,17.3861,16.86302,16.38441,2777,301,3,75,1193623545146533888,GALAXY,0.1281307,1060,52636,617
1237678439702921472,44.7706167441427,3.14328648360148,22.76559,21.32222,19.39809,18.75206,18.37249,7675,301,6,167,4793221252549728256,GALAXY,0.349924,4257,55480,965
1237671122689917184,142.145572353881,11.909154279854,19.71018,17.75311,16.83487,16.39245,16.06505,5972,301,1,177,1960286621894993920,GALAXY,0.07926697,1741,53052,345
1.237662194526E+18,183.292604643767,42.3273039333228,21.20483,20.79974,20.8424,20.8465,20.22285,3893,301,3,167,9438593317787162624,QSO,2.160239,8383,57518,634
1237671125375779584,145.264528616298,14.5735055821594,23.27852,22.30762,21.37152,20.78085,20.63448,5972,301,6,200,10792950579795875840,GALAXY,0.7349937,9586,57787,269
1237661971730924032,204.564203532472,7.15143916290133,22.43387,21.25211,20.18396,19.47521,19.10369,3841,301,4,264,5446229458431531008,GALAXY,0.5785419,4837,55707,915
1237661971722600960,185.370396132411,7.50699627486672,22.09278,21.3136,19.92274,18.75788,18.43207,3841,301,4,137,6076564910082643968,GALAXY,0.5929222,5397,55944,302
1237665126930514432,177.205074945231,33.4940148806737,24.43236,21.34729,19.49277,18.73076,18.22236,4576,301,1,405,5195131512367110144,GALAXY,0.4243204,4614,55604,834
1237665126937133824,195.426804689521,33.4199080509159,24.00361,22.73568,21.27594,19.96108,19.54632,4576,301,1,506,7305027268610643968,GALAXY,0.6930691,6488,56364,686
1237657608571847168,123.954809508677,38.07299827433,24.50456,21.87976,21.5445,21.42856,21.19773,2825,301,5,124,4283171273868335104,STAR,-6.812865E-05,3804,55267,902
1237655123934445824,182.020390485809,3.84290763763833,23.97995,20.62666,18.97129,18.28239,17.85085,2247,301,1,142,5347032342765787136,GALAXY,0.3202953,4749,55633,486
1237662963858211328,358.382012417825,37.7171062627186,25.82376,21.2365,19.70852,18.91072,18.44242,4072,301,4,109,2117963464772184064,STAR,-0.0001750051,1881,53261,530
1237679998237147904,347.549789604739,-1.82327807794014,26.30527,23.34588,21.24799,20.07487,19.41374,8038,301,5,136,4910302754122258432,GALAXY,0.6647006,4361,55831,921
1237653652376191744,10.3682490019406,15.1849043336537,26.05487,23.20696,21.5794,20.41763,19.79446,1904,301,4,217,6978393972390778880,GALAXY,0.5634438,6198,56211,241
1237659326016652032,211.819876999579,57.4318331546814,23.18546,24.04538,21.83746,20.59399,19.76745,3225,301,4,44,9449747594177959936,QSO,0.981285,8393,57864,253
1237657589779006464,157.048561452923,51.1138751585508,25.62645,23.10829,21.41589,20.42924,19.77532,2821,301,2,88,9196604818462103552,GALAXY,0.4965568,8168,56992,925
1237678597545263616,340.926687720849,2.52354530728735,24.69253,21.46225,20.02049,19.83537,19.75968,7712,301,4,202,4835995834624792576,QSO,3.810244,4295,55858,930
1237678597559091712,12.5359310439114,2.79460980000508,24.35898,22.29609,21.01804,20.92491,20.37988,7712,301,4,413,8846389753970710528,QSO,3.580917,7857,57278,706
1237678619557822976,342.856523764523,2.89727211764438,23.29265,22.22836,21.37984,20.4698,20.04562,7717,301,5,215,4833611812682618880,GALAXY,0.5892197,4293,55509,449
1237679477471445248,2.7673657067416,22.3277199819529,21.75897,21.05813,20.94658,20.48609,20.11511,7917,301,3,122,7747431168161896448,QSO,1.779566,6881,56540,414
1237650762389913856,178.503288152059,-1.97062186502491,22.54337,21.0179,20.85479,20.63242,20.53702,1231,301,5,62,4251545470189721600,STAR,-0.0002334476,3776,55209,536
1237650762397253632,195.264185337989,-1.9536408348662,21.95676,21.39123,21.16613,21.13233,20.7072,1231,301,5,174,381776029196249088,GALAXY,0.00489449,339,51692,349
1237680297269264896,331.292873181532,18.3398910834289,19.54616,19.57798,19.6826,19.44939,19.37317,8108,301,2,60,8525339499882108928,QSO,1.951557,7572,56944,92
1237680297278505216,353.532704941663,21.2765751845099,21.70633,21.12216,20.80957,20.79662,20.53957,8108,301,2,201,8558109069810096128,QSO,2.230812,7601,56959,523
1237662341085266432,237.715697639654,29.3917101571419,19.19532,18.04818,17.31417,16.89676,16.73907,3927,301,4,68,1565139736568293376,GALAXY,0.2077408,1390,53142,505
1237665534927503616,231.872556677832,22.4135027788936,19.36931,19.29138,19.52262,19.66387,19.74178,4671,301,1,25,4451875397160949760,STAR,-2.809285E-05,3954,55680,244
1237662533820153856,229.961198614556,10.3164007801908,17.99551,17.06241,16.74671,16.63893,16.60524,3972,301,3,41,6180104821330434048,STAR,-0.0002075337,5489,55990,146
1237680246813229568,357.135648501921,20.2321077038628,23.1323,21.67029,19.74356,19.02727,18.37116,8096,301,4,210,6897508675344422912,GALAXY,0.4001656,6126,56269,894
1237668332033867776,233.729407701385,11.7160355488476,17.34958,16.39677,16.27371,16.27371,16.27969,5322,301,3,161,3100760025539307520,STAR,-0.0008596415,2754,54240,115
1237652939402773504,316.112136514186,10.3038265456695,18.95272,18.82956,18.64917,18.37289,18.10728,1738,301,4,82,818659286551914496,STAR,-0.0001074216,727,52207,473
1237660961325973760,131.739295279848,30.2242659187874,22.92375,20.39867,18.67444,18.07481,17.64733,3606,301,2,52,1429930040388249600,GALAXY,0.3361811,1270,52991,135
1237678598095700224,11.9630525992102,3.1749304543498,21.56121,21.59818,21.24044,21.34266,21.21383,7712,301,5,409,9852818108557056000,QSO,1.223756,8751,57685,247
1237680272040722688,343.712310417513,21.0631545333484,20.42344,18.52562,17.2506,16.72189,16.34569,8102,301,3,127,6.891789014481E+18,GALAXY,0.1799803,6121,56187,566
1237678858477175296,13.0624649065708,11.8364346118187,26.19095,21.51,19.61467,18.86494,18.34106,7773,301,2,395,6987423987082221568,GALAXY,0.4422896,6206,56245,324
1237657401344197120,135.062500775896,42.5443692026998,24.15445,21.53584,19.79926,19.23503,18.75894,2777,301,3,193,934666835696052224,GALAXY,0.3797201,830,52293,618
